Sex,Height,HandSpan
Female,68,21.5
Male,71,23.5
Male,73,22.5
Female,64,18.0
Male,68,23.5
Female,59,20.0
Male,73,23.0
Male,75,24.5
Female,65,21.0
Female,69,20.5
Male,69,20.5
Female,64,18.5
Female,67,21.0
Female,67,19.5
Male,69,22.0
Male,73,22.0
Female,62,20.0
Male,69,22.5
Female,64,18.5
Male,74,21.5
Male,73,24.5
Female,66,20.5
Male,74,24.5
Male,73,21.0
Male,69,21.0
Female,64,18.5
Female,67,18.0
Female,60,19.5
Male,75,20.5
Female,64,21.0
Female,67,20.0
Female,67,20.0
Female,66,19.0
Female,62,17.0
Male,72,22.0
Male,71,22.0
Female,61,17.5
Female,63,19.0
Male,66,19.0
Male,71,22.0
Male,71,22.0
Female,66,18.5
Male,70,20.0
Female,67,20.5
Male,69,21.0
Female,67,19.5
Female,68,20.0
Male,67,21.5
Male,68,22.5
Female,71,20.0
Male,70,22.5
Male,74,24.5
Female,60,18.5
Female,65,20.0
Male,72,24.0
Male,76,23.5
Female,66,21.0
Female,65,19.5
Male,71,20.0
Male,69,22.5
Female,64,20.0
Female,65,20.0
Male,74,24.0
Male,68,21.0
Female,68,21.5
Female,69,18.5
Female,68,23.0
Male,67,23.0
Female,62,20.5
Female,63,16.5
Female,67,19.5
Male,71,23.0
Male,73,22.5
Female,63,18.5
Female,61,18.5
Male,67,21.5
Male,72,20.5
Male,72,20.5
Female,68,20.0
Female,66,21.0
Male,67,21.5
Female,67,20.5
Male,72,20.5
Male,68,21.0
Female,64,21.5
Female,72,21.5
Male,69,22.5
Female,68,21.0
Male,71,21.0
Male,71,22.0
Female,63,19.0
Male,70,23.0
Female,68,20.5
Female,68,20.5
Male,75,21.0
Male,74,24.0
Male,71,22.0
Male,71,21.0
Female,64,19.5
Male,71,21.0
Female,69,19.5
Female,65,19.0
Male,69,23.0
Female,63,20.5
Male,70,24.0
Male,71,22.0
Female,64,20.0
Female,63,21.5
Female,65,19.0
Female,66,19.0
Female,66,20.0
Female,65,19.5
Female,68,20.0
Female,57,16.0
Male,72,22.5
Female,64,17.5
Female,67,19.5
Female,68,22.5
Female,63,20.0
Male,67,21.5
Female,66,20.5
Male,72,23.5
Male,74,22.0
Male,69,18.0
Female,68,19.0
Female,65,19.5
Female,64,19.0
Female,67,20.0
Male,74,23.5
Male,73,24.0
Female,64,18.5
Male,76,24.5
Female,68,20.0
Male,76,23.0
Female,64,22.0
Male,69,22.5
Male,75,24.5
Female,62,17.0
Male,69,22.0
Male,67,22.0
Male,74,24.5
Male,74,24.0
Female,71,18.5
Male,71,21.5
Female,63,21.0
Male,67,22.0
Female,65,20.5
Female,68,19.0
Female,67,20.5
Male,73,23.0
Male,78,25.5
Female,62,18.5
Female,70,19.0
Female,64,19.0
Female,64,20.0
Male,72,20.5
Male,74,24.0
Male,70,22.0
Male,70,23.5
Female,62,17.0
Female,64,18.5
Female,66,20.0
Female,60,17.0
Male,73,23.0
Female,66,18.5
Female,68,21.0
Male,73,21.0
